school_type,average_act
Regular School,21.9352869352869
Regular School,16.6117216117216
Regular School,13.8278388278388
Regular School,22.2771672771673
Regular School,22.0
Regular School,14.5848595848596
Regular School,20.8
Regular School,20.1037851037851
Regular School,16.2210012210012
Regular School,19.0
Regular School,21.0561660561661
Regular School,20.6
Regular School,23.962148962149
Regular School,15.6593406593407
Regular School,22.9365079365079
Regular School,24.4505494505495
Regular School,21.7643467643468
Regular School,21.6422466422466
Regular School,22.0
Regular School,20.2991452991453
Regular School,21.4
Regular School,19.0781440781441
Regular School,15.6105006105006
Regular School,21.959706959707
Regular School,24.9
Regular School,20.982905982906
Regular School,20.7
Regular School,19.4200244200244
Regular School,23.0
Regular School,20.3724053724054
Regular School,20.1
Regular School,23.6202686202686
Regular School,17.8815628815629
Regular School,21.0561660561661
Regular School,21.2515262515263
Regular School,21.0
Regular School,20.3
Regular School,20.958485958486
Regular School,16.2
Regular School,20.2991452991453
Regular School,19.1514041514042
Regular School,16.2698412698413
Regular School,18.6874236874237
Regular School,22.2
Regular School,19.1
Regular School,22.032967032967
Regular School,13.2417582417582
Regular School,19.1
Regular School,16.1
Regular School,20.2405372405372
Regular School,13.7545787545788
Regular School,15.2
Regular School,18.5
Regular School,20.8608058608059
Regular School,17.6
Regular School,19.6153846153846
Regular School,21.1050061050061
Regular School,19.8
Regular School,20.1526251526252
Regular School,21.4957264957265
Regular School,18.7606837606838
Regular School,22.0
Regular School,22.2429792429792
Regular School,20.7
Regular School,19.3
Regular School,17.7
Regular School,20.5433455433455
Regular School,21.8376068376068
Regular School,15.0
Regular School,18.5409035409035
Regular School,23.0
Regular School,20.0
Regular School,22.0573870573871
Regular School,20.5677655677656
Regular School,14.4
Regular School,20.4
Regular School,22.0
Regular School,24.035409035409
Regular School,19.0781440781441
Regular School,22.9365079365079
Regular School,21.7887667887668
Regular School,19.2735042735043
Regular School,15.8058608058608
Regular School,21.6
Regular School,21.6666666666667
Regular School,20.1037851037851
Regular School,21.8620268620269
Regular School,19.6886446886447
Regular School,25.4273504273504
Regular School,21.0
Regular School,20.6410256410256
Regular School,20.6166056166056
Regular School,23.8
Regular School,24.0842490842491
Regular School,23.0
Regular School,17.8571428571429
Regular School,22.6
Regular School,19.9304029304029
Regular School,20.9
Regular School,21.4468864468864
Regular School,20.9096459096459
Regular School,23.8156288156288
Regular School,18.8
Regular School,21.3736263736264
Regular School,19.3
Regular School,19.9
Regular School,22.6190476190476
Regular School,24.0
Regular School,21.3
Regular School,22.032967032967
Regular School,20.982905982906
Regular School,19.8351648351648
Regular School,21.8
Regular School,20.8
Regular School,21.0561660561661
Regular School,18.8583638583639
Regular School,23.986568986569
Regular School,19.4444444444444
Regular School,14.1941391941392
Regular School,21.3
Regular School,19.1514041514042
Regular School,20.1526251526252
Regular School,21.2
Regular School,19.5421245421245
Regular School,20.0
Regular School,20.3
Regular School,17.2
Regular School,17.2222222222222
Regular School,20.0
Regular School,21.2026862026862
